,Spot,Future
12/04/2022,81.53,73.5
12/05/2022,77.74,81.15
12/06/2022,74.78,77.4
12/07/2022,72.86,74.47
12/08/2022,72.33,72.58
12/09/2022,71.75,72.06
12/11/2022,72.08,71.5
12/12/2022,73.61,71.9
12/13/2022,75.36,73.44
12/14/2022,77.44,75.19
12/15/2022,76.4,77.27
12/16/2022,74.73,76.25
12/18/2022,75.22,74.45
12/19/2022,76,75.89
12/20/2022,76.27,76.23
12/21/2022,78.59,78.24
12/22/2022,78.56,78.45
12/23/2022,79.44,79.34
12/26/2022,81.06,80.97
12/27/2022,79.84,79.77
12/28/2022,78.67,78.6
12/29/2022,78.67,78.61
12/30/2022,80.55,80.47
01/02/2023,80.53,80.47
01/03/2023,77.14,77.09
01/04/2023,73.49,73.5